partner_key,partner_name,partner_type,tier,city,county,region_key,status,onboard_date,account_manager,commission_rate,credit_limit
1,Turner Tech Ltd,Wholesale,Bronze,London,Greater London,402,Active,2020-11-07,Ella Roberts,8.1,25000
2,Turner Networks Ltd,Reseller,Gold,Leicester,Leicestershire,403,Active,2017-01-19,Olivia Clarke,15.1,25000
3,Green IT Ltd,Reseller,Standard,Glasgow,Scotland,407,Active,2020-10-03,Sophia Wood,17.4,250000
4,Hall IT Ltd,Agent,Gold,Leicester,Leicestershire,406,Active,2021-07-27,William Williams,6.6,250000
5,Turner Tech Ltd,IT Provider,Bronze,Oxford,Oxfordshire,403,Inactive,2017-11-10,Charlotte Evans,21.8,10000
6,Green Solutions Ltd,MSP,Standard,Bristol,Avon,409,Active,2022-01-30,Isabella Harris,13.2,50000
7,Harris Solutions Ltd,Agent,Standard,Southampton,Hampshire,401,Active,2024-03-22,Freya Thomas,8.3,250000
8,Roberts IT Ltd,MSP,Standard,Nottingham,Nottinghamshire,408,Active,2016-04-29,George Cooper,16.2,250000
9,Smith IT Ltd,Agent,Gold,Coventry,West Midlands,409,Active,2022-06-28,Jessica Harris,12.9,10000
10,Wright Solutions Ltd,Agent,Gold,Bristol,Avon,409,Active,2020-10-23,Daniel Robinson,14.0,100000
11,Brown Tech Ltd,Wholesale,Bronze,Brighton,East Sussex,411,Active,2019-08-29,Henry Green,15.8,250000
12,Taylor Group Ltd,Referral,Platinum,London,Greater London,401,Active,2018-12-11,Sophia Hall,11.5,50000
13,Roberts Networks Ltd,Agent,Standard,Newcastle,Tyne and Wear,408,Active,2017-05-06,Leo Evans,16.5,100000
14,Wilson Solutions Ltd,Telecom Reseller,Gold,Leicester,Leicestershire,405,Active,2015-01-04,Jessica Wood,10.6,10000
15,Green IT Ltd,Reseller,Standard,London,Greater London,402,Active,2015-05-25,Jessica Harris,22.5,10000
16,White Group Ltd,IT Provider,Standard,London,Greater London,409,Active,2024-01-07,Daniel Wright,7.1,250000
17,Thomas Telecom Ltd,Wholesale,Standard,Bristol,Avon,404,Active,2024-05-01,Henry Wood,9.5,100000
18,Edwards IT Ltd,Referral,Silver,Oxford,Oxfordshire,410,Active,2015-07-18,Jessica Brown,9.3,50000
19,Wood Solutions Ltd,Reseller,Standard,Oxford,Oxfordshire,402,Active,2015-05-10,Emily Taylor,23.4,50000
20,Hall IT Ltd,Telecom Reseller,Standard,Southampton,Hampshire,402,Active,2021-03-06,Harper Evans,8.0,100000
21,Hill Solutions Ltd,IT Provider,Standard,Cardiff,Wales,411,Active,2020-03-17,Oscar Robinson,23.6,25000
22,Walker Solutions Ltd,Telecom Reseller,Gold,Belfast,Northern Ireland,409,Active,2018-03-11,Emma Smith,14.8,250000
23,Robinson Networks Ltd,Telecom Reseller,Silver,Cambridge,Cambridgeshire,402,Active,2023-06-27,Leo Evans,12.9,50000
24,Clarke Networks Ltd,Referral,Platinum,Manchester,Greater Manchester,401,Active,2015-08-08,Ava Harris,15.0,50000
25,Brown Solutions Ltd,Referral,Standard,Reading,Berkshire,411,Active,2017-03-22,Samuel Edwards,20.8,25000
26,Martin IT Ltd,MSP,Silver,Glasgow,Scotland,403,Suspended,2018-02-12,Henry Hall,14.8,250000
27,Green IT Ltd,Agent,Silver,Leeds,West Yorkshire,405,Active,2022-04-30,Lily Davies,7.3,10000
28,Jackson Communications Ltd,IT Provider,Silver,Brighton,East Sussex,404,Active,2023-10-29,Lucas Taylor,9.0,100000
29,Jackson IT Ltd,IT Provider,Bronze,Leicester,Leicestershire,411,Active,2021-06-10,Olivia Williams,22.4,100000
30,Jones Solutions Ltd,Agent,Gold,Bristol,Avon,401,Active,2024-02-13,Emily Davies,11.9,50000
31,Martin Solutions Ltd,Wholesale,Standard,Leicester,Leicestershire,406,Active,2015-08-26,Lucas Turner,21.5,25000
32,Edwards Telecom Ltd,Reseller,Bronze,Edinburgh,Scotland,405,Active,2021-05-08,James Williams,23.0,100000
33,Cooper Networks Ltd,IT Provider,Standard,Newcastle,Tyne and Wear,406,Active,2022-01-07,Sophie Martin,10.2,25000
34,Wilson Communications Ltd,Agent,Bronze,Leicester,Leicestershire,403,Active,2015-03-21,Amelia Thompson,15.4,25000
35,Patel Communications Ltd,MSP,Silver,Birmingham,West Midlands,402,Active,2021-03-11,Ruby Thomas,10.3,50000
36,Williams IT Ltd,Referral,Standard,Reading,Berkshire,403,Active,2019-03-31,James Wood,7.0,10000
37,Wilson Networks Ltd,Wholesale,Silver,Glasgow,Scotland,407,Active,2016-06-18,Samuel Jones,11.0,100000
38,Cooper Communications Ltd,Reseller,Silver,Liverpool,Merseyside,409,Active,2017-11-09,Sophia Thompson,10.7,250000
39,Edwards Tech Ltd,Wholesale,Platinum,Bristol,Avon,411,Active,2021-04-20,Sophia Patel,16.8,25000
40,Wood Tech Ltd,IT Provider,Standard,Nottingham,Nottinghamshire,407,Active,2021-06-16,Freya Johnson,15.8,10000
41,Hughes Networks Ltd,MSP,Bronze,Reading,Berkshire,401,Suspended,2018-10-20,Joseph Wright,5.2,25000
42,Robinson Networks Ltd,Agent,Bronze,Glasgow,Scotland,406,Active,2020-09-19,Evelyn Johnson,16.0,25000
43,Brown Group Ltd,Telecom Reseller,Silver,Bristol,Avon,410,Active,2020-09-01,James Brown,14.2,250000
44,Johnson Networks Ltd,Agent,Bronze,Cardiff,Wales,400,Active,2017-12-23,Sophia Turner,23.0,10000
45,Cooper IT Ltd,IT Provider,Silver,Cardiff,Wales,401,Active,2018-02-19,Freya Jones,21.9,100000
46,Clarke Telecom Ltd,IT Provider,Bronze,Glasgow,Scotland,404,Inactive,2017-03-03,William Roberts,18.5,100000
47,Taylor IT Ltd,MSP,Standard,Newcastle,Tyne and Wear,407,Active,2022-06-03,Ava Jones,22.3,10000
48,Roberts Communications Ltd,IT Provider,Platinum,Sheffield,South Yorkshire,400,Inactive,2020-01-04,Ava Lewis,19.2,100000
49,Wood Networks Ltd,IT Provider,Gold,Leicester,Leicestershire,409,Active,2016-12-06,Olivia Wood,24.9,10000
50,Lewis Communications Ltd,Wholesale,Silver,Oxford,Oxfordshire,410,Active,2015-10-11,Benjamin Walker,16.4,250000
51,Harris IT Ltd,Agent,Gold,Southampton,Hampshire,408,Inactive,2019-09-27,Charlie Wright,14.0,100000
52,Hughes Group Ltd,Reseller,Standard,Manchester,Greater Manchester,409,Active,2021-09-19,Ava Edwards,24.4,50000
53,Thompson Group Ltd,Agent,Standard,Edinburgh,Scotland,401,Inactive,2022-10-06,Emily Jackson,19.7,10000
54,Johnson Group Ltd,Wholesale,Silver,Nottingham,Nottinghamshire,407,Active,2020-03-30,Charlie Williams,6.2,10000
55,Roberts Communications Ltd,IT Provider,Standard,London,Greater London,404,Active,2016-11-14,Matthew Hughes,21.2,250000
56,Jones Communications Ltd,Reseller,Bronze,Southampton,Hampshire,402,Active,2018-02-19,Ella Walker,23.3,10000
57,Williams IT Ltd,Wholesale,Silver,Leeds,West Yorkshire,409,Active,2018-08-11,Jessica Cooper,11.2,10000
58,Evans Communications Ltd,Telecom Reseller,Bronze,London,Greater London,401,Active,2019-03-27,Oliver Wilson,23.7,25000
59,Robinson Solutions Ltd,Referral,Bronze,Manchester,Greater Manchester,411,Active,2024-04-14,Daniel Smith,24.6,250000
60,Patel Solutions Ltd,Wholesale,Bronze,Newcastle,Tyne and Wear,406,Active,2019-01-03,Samuel Edwards,7.3,100000
61,Martin Tech Ltd,MSP,Silver,Coventry,West Midlands,403,Active,2020-09-23,Matthew Brown,24.3,50000
62,Taylor IT Ltd,MSP,Bronze,Cambridge,Cambridgeshire,407,Inactive,2018-05-01,Alice Brown,8.3,25000
63,Thompson Solutions Ltd,Wholesale,Gold,Southampton,Hampshire,410,Inactive,2023-07-11,Olivia Roberts,11.0,10000
64,Brown Networks Ltd,MSP,Gold,Bristol,Avon,403,Active,2024-04-14,Alexander Davies,17.0,100000
65,Taylor Group Ltd,IT Provider,Bronze,Belfast,Northern Ireland,401,Active,2017-04-05,Mia Edwards,6.9,10000
66,Thompson Telecom Ltd,Reseller,Silver,Leeds,West Yorkshire,410,Active,2023-08-13,Samuel Clarke,14.2,50000
67,Hill IT Ltd,Telecom Reseller,Gold,Liverpool,Merseyside,401,Active,2023-05-28,William Walker,16.7,50000
68,Hughes Communications Ltd,Wholesale,Standard,Leeds,West Yorkshire,400,Active,2023-10-24,Ava Davies,23.1,100000
69,Edwards Solutions Ltd,IT Provider,Standard,Leicester,Leicestershire,408,Inactive,2019-02-04,Oliver Wood,17.3,25000
70,Wright Group Ltd,Referral,Standard,Birmingham,West Midlands,402,Active,2019-07-11,Emma Evans,24.2,25000
71,Williams IT Ltd,Wholesale,Standard,Nottingham,Nottinghamshire,405,Active,2019-11-02,Oscar Lewis,13.6,100000
72,Walker Tech Ltd,Wholesale,Silver,Leeds,West Yorkshire,401,Active,2024-11-12,Lucas Turner,6.3,10000
73,Edwards Communications Ltd,Reseller,Silver,Cardiff,Wales,411,Active,2021-09-19,Henry Lewis,8.0,50000
74,Roberts Communications Ltd,IT Provider,Standard,Bristol,Avon,411,Active,2018-11-12,Henry Green,23.1,50000
75,Wilson Networks Ltd,Telecom Reseller,Gold,Glasgow,Scotland,410,Active,2022-04-08,Lily Clarke,11.5,100000
76,Robinson Networks Ltd,Telecom Reseller,Gold,Cardiff,Wales,400,Active,2015-04-01,Benjamin Hall,17.7,50000
77,Clarke Solutions Ltd,MSP,Silver,Glasgow,Scotland,409,Active,2020-12-12,Grace Williams,24.6,25000
78,Smith Communications Ltd,Referral,Bronze,Belfast,Northern Ireland,402,Active,2018-05-21,Samuel Hill,7.8,10000
79,Davies Group Ltd,Telecom Reseller,Silver,Newcastle,Tyne and Wear,410,Active,2016-07-01,Ruby Wright,14.8,100000
80,Wright Tech Ltd,Wholesale,Silver,Brighton,East Sussex,405,Active,2018-03-07,Alexander Edwards,16.3,25000
81,Thomas Group Ltd,Referral,Bronze,Nottingham,Nottinghamshire,411,Active,2024-06-19,Grace Evans,10.9,100000
82,Edwards IT Ltd,Agent,Standard,Nottingham,Nottinghamshire,407,Active,2018-05-04,George Walker,7.2,25000
83,Johnson Solutions Ltd,IT Provider,Standard,Liverpool,Merseyside,407,Active,2020-06-09,William Clarke,10.2,50000
84,Wright Networks Ltd,Agent,Bronze,Leicester,Leicestershire,410,Active,2021-02-14,Charlie Hill,17.8,50000
85,Turner Group Ltd,Wholesale,Gold,Brighton,East Sussex,400,Suspended,2020-11-09,Amelia Lewis,22.2,10000
86,Brown Tech Ltd,MSP,Platinum,Belfast,Northern Ireland,403,Active,2016-04-09,Ruby Johnson,20.5,100000
87,Johnson Solutions Ltd,IT Provider,Bronze,Bristol,Avon,408,Active,2016-12-29,Olivia Roberts,20.7,25000
88,Wright Communications Ltd,Agent,Bronze,London,Greater London,411,Active,2024-12-15,James Wilson,20.7,25000
89,Wright Group Ltd,Wholesale,Gold,Cardiff,Wales,410,Active,2023-07-24,Olivia Harris,22.3,250000
90,Harris Tech Ltd,Telecom Reseller,Gold,Brighton,East Sussex,407,Active,2018-02-14,Mia Roberts,16.8,100000
91,Thompson Networks Ltd,Agent,Standard,Glasgow,Scotland,411,Active,2015-06-28,Ava Clarke,8.4,50000
92,Evans Networks Ltd,MSP,Bronze,Leicester,Leicestershire,409,Active,2023-05-29,Mia Green,5.6,50000
93,Jones Tech Ltd,Referral,Standard,Edinburgh,Scotland,403,Inactive,2019-05-15,Grace Cooper,14.2,10000
94,Walker Solutions Ltd,Referral,Standard,Brighton,East Sussex,411,Active,2022-01-19,Olivia Cooper,5.8,10000
95,Jones Telecom Ltd,IT Provider,Standard,Oxford,Oxfordshire,405,Active,2024-08-11,Ruby Jones,23.6,50000
96,Hill Networks Ltd,Referral,Bronze,Leeds,West Yorkshire,403,Active,2017-12-29,Sophie Turner,5.7,10000
97,Jones Group Ltd,Agent,Standard,Glasgow,Scotland,404,Inactive,2017-11-18,Noah Walker,7.6,10000
98,Lewis Group Ltd,Reseller,Gold,Reading,Berkshire,411,Inactive,2023-10-24,Oscar Wright,14.4,50000
99,Edwards IT Ltd,Reseller,Bronze,London,Greater London,404,Active,2023-03-01,Chloe Harris,10.0,25000
100,Lewis Telecom Ltd,Agent,Silver,Liverpool,Merseyside,401,Active,2020-11-29,Harry Roberts,6.5,250000
101,Hall Group Ltd,Wholesale,Gold,Newcastle,Tyne and Wear,410,Active,2016-05-26,Oliver Williams,22.4,100000
102,Cooper Networks Ltd,Agent,Standard,Bristol,Avon,401,Active,2016-06-16,Noah Hall,5.9,10000
103,Turner Telecom Ltd,Telecom Reseller,Bronze,Leicester,Leicestershire,408,Active,2015-02-05,Thomas Wright,9.8,25000
104,Lewis IT Ltd,MSP,Silver,Manchester,Greater Manchester,405,Active,2018-07-14,Harper Taylor,14.5,50000
105,Clarke Group Ltd,IT Provider,Silver,Glasgow,Scotland,403,Active,2016-11-09,Alice Wright,14.7,25000
106,Wright Communications Ltd,Telecom Reseller,Bronze,Birmingham,West Midlands,404,Active,2018-07-05,Joseph Johnson,14.2,250000
107,Hill Communications Ltd,Telecom Reseller,Silver,Coventry,West Midlands,404,Active,2018-04-12,Ava Wright,16.6,100000
108,Hill Telecom Ltd,MSP,Standard,Birmingham,West Midlands,402,Active,2024-04-16,Leo Thompson,17.2,10000
109,Green Communications Ltd,Telecom Reseller,Gold,Southampton,Hampshire,403,Active,2024-07-27,Sophia Harris,14.9,10000
110,Taylor IT Ltd,IT Provider,Platinum,Glasgow,Scotland,410,Active,2020-08-14,Isabella Smith,13.4,50000
111,Davies Group Ltd,Wholesale,Bronze,Birmingham,West Midlands,411,Suspended,2024-11-05,Charlie Martin,7.3,10000
112,Jones Telecom Ltd,IT Provider,Bronze,Belfast,Northern Ireland,408,Active,2018-07-09,Emily Davies,7.1,25000
113,Hill Tech Ltd,Agent,Gold,Cardiff,Wales,411,Active,2019-08-17,Harry Patel,13.5,100000
114,Clarke Solutions Ltd,Telecom Reseller,Gold,Leicester,Leicestershire,401,Active,2022-01-29,Daniel Cooper,16.6,100000
115,Turner IT Ltd,Referral,Silver,Oxford,Oxfordshire,409,Active,2023-07-03,Thomas Roberts,21.4,25000
116,Jackson Communications Ltd,Reseller,Gold,Coventry,West Midlands,410,Active,2015-08-26,Grace White,17.1,250000
117,Harris Telecom Ltd,Reseller,Standard,Leicester,Leicestershire,406,Active,2021-05-01,Harper Wright,5.9,100000
118,Lewis IT Ltd,MSP,Bronze,Leeds,West Yorkshire,411,Active,2020-03-29,Emily Clarke,9.1,25000
119,Robinson Networks Ltd,Agent,Silver,Brighton,East Sussex,405,Active,2023-07-08,Jack Hill,10.9,250000
120,Edwards Networks Ltd,Telecom Reseller,Standard,Edinburgh,Scotland,409,Active,2021-10-31,Alice White,11.0,50000
121,Thompson Tech Ltd,Telecom Reseller,Gold,Glasgow,Scotland,402,Active,2022-10-18,Mia Wilson,20.6,10000
122,Williams Communications Ltd,IT Provider,Silver,Reading,Berkshire,407,Active,2022-11-11,Grace Wilson,6.9,10000
123,Hall Telecom Ltd,Agent,Bronze,Brighton,East Sussex,404,Active,2021-02-09,Isabella Lewis,10.5,100000
124,Roberts Solutions Ltd,Telecom Reseller,Bronze,Reading,Berkshire,406,Active,2024-06-03,Chloe Martin,11.6,25000
125,Patel Communications Ltd,Referral,Standard,Liverpool,Merseyside,411,Active,2020-09-17,Ella Hughes,15.9,50000
126,Hall Tech Ltd,Referral,Silver,Nottingham,Nottinghamshire,405,Active,2022-08-20,Amelia Hill,24.9,50000
127,Walker Networks Ltd,MSP,Platinum,Newcastle,Tyne and Wear,411,Active,2022-07-07,Freya Jackson,15.2,10000
128,White Networks Ltd,Wholesale,Gold,Manchester,Greater Manchester,410,Active,2022-07-27,Thomas Roberts,19.1,100000
129,Davies Communications Ltd,Wholesale,Silver,Leicester,Leicestershire,405,Active,2020-12-17,Lily Evans,15.7,10000
130,Johnson IT Ltd,Reseller,Standard,Newcastle,Tyne and Wear,403,Active,2018-03-01,Noah Robinson,17.0,50000
131,Hill Communications Ltd,Reseller,Silver,Reading,Berkshire,408,Inactive,2018-07-25,Sophie Brown,21.4,10000
132,Wright Group Ltd,Wholesale,Bronze,Southampton,Hampshire,400,Active,2024-11-08,Harry Jones,23.1,10000
133,Green Communications Ltd,MSP,Bronze,Manchester,Greater Manchester,408,Inactive,2020-06-27,Freya Evans,11.6,250000
134,Clarke IT Ltd,Agent,Silver,Cardiff,Wales,403,Active,2019-09-12,Oliver Smith,22.3,250000
135,Edwards Communications Ltd,Reseller,Bronze,Cardiff,Wales,408,Inactive,2019-10-16,Sophia Clarke,7.7,10000
136,Thompson Telecom Ltd,IT Provider,Standard,Cambridge,Cambridgeshire,406,Active,2019-04-28,Jessica Hall,5.3,50000
137,Evans Solutions Ltd,Referral,Standard,Coventry,West Midlands,406,Active,2024-06-28,Harper Roberts,21.6,250000
138,Wood Solutions Ltd,IT Provider,Platinum,Coventry,West Midlands,407,Active,2019-09-21,James Harris,12.7,50000
139,Jones Tech Ltd,Telecom Reseller,Gold,Sheffield,South Yorkshire,406,Active,2016-05-27,Jessica Hall,7.6,50000
140,Thomas Networks Ltd,Agent,Silver,Leeds,West Yorkshire,409,Inactive,2018-12-31,Sophie Roberts,12.5,10000
141,Hall Group Ltd,Agent,Standard,Edinburgh,Scotland,407,Active,2018-06-09,Charlie Robinson,7.3,100000
142,Davies IT Ltd,Wholesale,Gold,Oxford,Oxfordshire,404,Inactive,2021-08-29,Noah Turner,21.1,10000
143,Lewis Communications Ltd,MSP,Gold,Southampton,Hampshire,400,Active,2024-06-06,Ruby Brown,11.3,250000
144,Patel Group Ltd,Referral,Silver,Leicester,Leicestershire,403,Inactive,2019-10-01,Alexander Thomas,14.6,100000
